CountyState,County,State,VAMC,VISN
"Benton County, Oregon",Benton,Oregon,VA Portland,20
"Lincoln County, Oregon",Lincoln,Oregon,VA Portland,20
"Polk County, Oregon",Polk,Oregon,VA Portland,20
"Deschutes County, Oregon",Deschutes,Oregon,VA Portland,20
"Crook County, Oregon",Crook,Oregon,VA Portland,20
"Lake County, Oregon",Lake,Oregon,VA Portland,20
"Clark County, Washington",Clark,Washington,VA Portland,20
"Union County, Ohio",Union,Ohio,Columbus,10
"Madison County, Ohio",Madison,Ohio,Columbus,10
"Pickaway County, Ohio",Pickaway,Ohio,Columbus,10
"Franklin County, Ohio",Franklin,Ohio,Columbus,10
"Fairfield County, Ohio",Fairfield,Ohio,Columbus,10
"Licking County, Ohio",Licking,Ohio,Columbus,10
"Delaware County, Ohio",Delaware,Ohio,Columbus,10
"Morrow County, Ohio",Morrow,Ohio,Columbus,10
"Lorain County, Ohio",Lorain,Ohio,Cleveland,10
"Medina County, Ohio",Medina,Ohio,Cleveland,10
"Cuyahoga County, Ohio",Cuyahoga,Ohio,Cleveland,10
"Geauga County, Ohio",Geauga,Ohio,Cleveland,10
"Lake County, Ohio",Lake,Ohio,Cleveland,10
