VISN,VAMC,FIPS,COUNTY,STATE
1,White River Junction VA Medical Center,50021,Rutland,Vermont
1,White River Junction VA Medical Center,50019,Orleans,Vermont
1,White River Junction VA Medical Center,50017,Orange,Vermont
1,White River Junction VA Medical Center,50015,Lamoille,Vermont
1,White River Junction VA Medical Center,50013,Grand Isle,Vermont
1,White River Junction VA Medical Center,50011,Franklin,Vermont
1,White River Junction VA Medical Center,50009,Essex,Vermont
1,White River Junction VA Medical Center,50007,Chittenden,Vermont
1,White River Junction VA Medical Center,50005,Caledonia,Vermont
1,White River Junction VA Medical Center,50003,Bennington,Vermont
1,White River Junction VA Medical Center,50001,Addison,Vermont
1,White River Junction VA Medical Center,36115,Washington,Vermont
1,White River Junction VA Medical Center,36083,Rensselaer,Vermont
1,White River Junction VA Medical Center,36031,Essex,Vermont
1,White River Junction VA Medical Center,36019,Clinton,Vermont
1,White River Junction VA Medical Center,33019,Sullivan,Vermont
1,White River Junction VA Medical Center,33013,Merrimack,Vermont
1,White River Junction VA Medical Center,33009,Grafton,Vermont
1,White River Junction VA Medical Center,33001,Belknap,Vermont
1,White River Junction VA Medical Center,25003,Berkshire,Vermont
2,Batavia VA Medical Center,42123,Warren,New York
2,Batavia VA Medical Center,42083,McKean,New York
2,Batavia VA Medical Center,36121,Wyoming,New York
2,Batavia VA Medical Center,36073,Orleans,New York
2,Batavia VA Medical Center,36063,Niagara,New York
2,Batavia VA Medical Center,36055,Monroe,New York
2,Batavia VA Medical Center,36051,Livingston,New York
2,Batavia VA Medical Center,36037,Genesee,New York
2,Batavia VA Medical Center,36029,Erie,New York
2,Batavia VA Medical Center,36013,Chautauqua,New York
2,Batavia VA Medical Center,36009,Cattaraugus,New York
2,Batavia VA Medical Center,36003,Allegany,New York
2,Bath VA Medical Center,42117,Tioga,New York
2,Bath VA Medical Center,42105,Potter,New York
2,Bath VA Medical Center,42081,Lycoming,New York
2,Bath VA Medical Center,42035,Clinton,New York
2,Bath VA Medical Center,42023,Cameron,New York
2,Bath VA Medical Center,42015,Bradford,New York
2,Brooklyn VA Medical Center,36085,Richmond,New York
2,Brooklyn VA Medical Center,36047,Kings,New York
2,Brooklyn VA Medical Center,34017,Hudson,New York
2,Buffalo VA Medical Center,42123,Warren,New York
2,Buffalo VA Medical Center,42083,McKean,New York
2,Buffalo VA Medical Center,36121,Wyoming,New York
2,Buffalo VA Medical Center,36073,Orleans,New York
2,Buffalo VA Medical Center,36063,Niagara,New York
2,Buffalo VA Medical Center,36055,Monroe,New York
2,Buffalo VA Medical Center,36051,Livingston,New York
2,Buffalo VA Medical Center,36037,Genesee,New York
2,Buffalo VA Medical Center,36029,Erie,New York
2,Buffalo VA Medical Center,36013,Chautauqua,New York
2,Buffalo VA Medical Center,36009,Cattaraugus,New York
2,Buffalo VA Medical Center,36003,Allegany,New York
2,Canandaigua VA Medical Center,36123,Yates,New York
2,Canandaigua VA Medical Center,36101,Steuben,New York
2,Castle Point VA Medical Center,42103,Pike,New York
2,Castle Point VA Medical Center,36087,Rockland,New York
2,Castle Point VA Medical Center,36061,New York,New York
2,Castle Point VA Medical Center,36005,Bronx,New York
2,Castle Point VA Medical Center,34037,Sussex,New York
2,Castle Point VA Medical Center,34031,Passaic,New York
2,Castle Point VA Medical Center,34003,Bergen,New York
2,East Orange VA Medical Center,42095,Northampton,New Jersey
2,East Orange VA Medical Center,42089,Monroe,New Jersey
2,East Orange VA Medical Center,42017,Bucks,New Jersey
2,East Orange VA Medical Center,34041,Warren,New Jersey
2,East Orange VA Medical Center,34039,Union,New Jersey
2,East Orange VA Medical Center,34035,Somerset,New Jersey
2,East Orange VA Medical Center,34029,Ocean,New Jersey
2,East Orange VA Medical Center,34027,Morris,New Jersey
2,East Orange VA Medical Center,34025,Monmouth,New Jersey
2,East Orange VA Medical Center,34023,Middlesex,New Jersey
2,East Orange VA Medical Center,34021,Mercer,New Jersey
2,East Orange VA Medical Center,34019,Hunterdon,New Jersey
2,East Orange VA Medical Center,34013,Essex,New Jersey
2,East Orange VA Medical Center,34005,Burlington,New Jersey
2,Franklin Delano Roosevelt Hospital,42103,Pike,New York
2,Franklin Delano Roosevelt Hospital,36087,Rockland,New York
2,Franklin Delano Roosevelt Hospital,36061,New York,New York
2,Franklin Delano Roosevelt Hospital,36005,Bronx,New York
2,Franklin Delano Roosevelt Hospital,34037,Sussex,New York
2,Franklin Delano Roosevelt Hospital,34031,Passaic,New York
2,Franklin Delano Roosevelt Hospital,34003,Bergen,New York
2,James J. Peters Department of Veterans Affairs Medical Center,42103,Pike,New York
2,James J. Peters Department of Veterans Affairs Medical Center,36087,Rockland,New York
2,James J. Peters Department of Veterans Affairs Medical Center,36061,New York,New York
2,James J. Peters Department of Veterans Affairs Medical Center,36005,Bronx,New York
2,James J. Peters Department of Veterans Affairs Medical Center,34037,Sussex,New York
2,James J. Peters Department of Veterans Affairs Medical Center,34031,Passaic,New York
2,James J. Peters Department of Veterans Affairs Medical Center,34003,Bergen,New York
2,Lyons VA Medical Center,42095,Northampton,New Jersey
2,Lyons VA Medical Center,42089,Monroe,New Jersey
2,Lyons VA Medical Center,42017,Bucks,New Jersey
2,Lyons VA Medical Center,34041,Warren,New Jersey
2,Lyons VA Medical Center,34039,Union,New Jersey
2,Lyons VA Medical Center,34035,Somerset,New Jersey
2,Lyons VA Medical Center,34029,Ocean,New Jersey
2,Lyons VA Medical Center,34027,Morris,New Jersey
2,Lyons VA Medical Center,34025,Monmouth,New Jersey
2,Lyons VA Medical Center,34023,Middlesex,New Jersey
2,Lyons VA Medical Center,34021,Mercer,New Jersey
2,Lyons VA Medical Center,34019,Hunterdon,New Jersey
2,Lyons VA Medical Center,34013,Essex,New Jersey
2,Lyons VA Medical Center,34005,Burlington,New Jersey
2,Manhattan VA Medical Center,36085,Richmond,New York
2,Manhattan VA Medical Center,36047,Kings,New York
2,Manhattan VA Medical Center,34017,Hudson,New York
2,Northport VA Medical Center,36103,Suffolk,New York
2,Northport VA Medical Center,36081,Queens,New York
2,Northport VA Medical Center,36059,Nassau,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,42127,Wayne,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36113,Warren,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36111,Ulster,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36105,Sullivan,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36095,Schoharie,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36093,Schenectady,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36091,Saratoga,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36089,St. Lawrence,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36077,Otsego,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36071,Orange,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36065,Oneida,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36057,Montgomery,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36053,Madison,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36043,Herkimer,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36041,Hamilton,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36039,Greene,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36035,Fulton,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36033,Franklin,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36025,Delaware,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36017,Chenango,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36007,Broome,New York
2,Samuel S. Stratton Department of Veterans Affairs Medical Center,36001,Albany,New York
2,St. Albans VA Medical Center,36085,Richmond,New York
2,St. Albans VA Medical Center,36047,Kings,New York
2,St. Albans VA Medical Center,34017,Hudson,New York
2,Syracuse VA Medical Center,42115,Susquehanna,New York
2,Syracuse VA Medical Center,36117,Wayne,New York
2,Syracuse VA Medical Center,36109,Tompkins,New York
2,Syracuse VA Medical Center,36107,Tioga,New York
2,Syracuse VA Medical Center,36099,Seneca,New York
2,Syracuse VA Medical Center,36097,Schuyler,New York
2,Syracuse VA Medical Center,36075,Oswego,New York
2,Syracuse VA Medical Center,36067,Onondaga,New York
2,Syracuse VA Medical Center,36049,Lewis,New York
2,Syracuse VA Medical Center,36045,Jefferson,New York
2,Syracuse VA Medical Center,36023,Cortland,New York
2,Syracuse VA Medical Center,36015,Chemung,New York
2,Syracuse VA Medical Center,36011,Cayuga,New York
4,Butler VA Medical Center,54103,Wetzel,Pennsylvania
4,Butler VA Medical Center,54095,Tyler,Pennsylvania
4,Butler VA Medical Center,54077,Preston,Pennsylvania
4,Butler VA Medical Center,54069,Ohio,Pennsylvania
4,Butler VA Medical Center,54061,Monongalia,Pennsylvania
4,Butler VA Medical Center,54051,Marshall,Pennsylvania
4,Butler VA Medical Center,54029,Hancock,Pennsylvania
4,Butler VA Medical Center,54009,Brooke,Pennsylvania
4,Butler VA Medical Center,42129,Westmoreland,Pennsylvania
4,Butler VA Medical Center,42125,Washington,Pennsylvania
4,Butler VA Medical Center,42121,Venango,Pennsylvania
4,Butler VA Medical Center,42111,Somerset,Pennsylvania
4,Butler VA Medical Center,42085,Mercer,Pennsylvania
4,Butler VA Medical Center,42073,Lawrence,Pennsylvania
4,Butler VA Medical Center,42065,Jefferson,Pennsylvania
4,Butler VA Medical Center,42063,Indiana,Pennsylvania
4,Butler VA Medical Center,42059,Greene,Pennsylvania
4,Butler VA Medical Center,42057,Fulton,Pennsylvania
4,Butler VA Medical Center,42053,Forest,Pennsylvania
4,Butler VA Medical Center,42051,Fayette,Pennsylvania
4,Butler VA Medical Center,42049,Erie,Pennsylvania
4,Butler VA Medical Center,42047,Elk,Pennsylvania
4,Butler VA Medical Center,42039,Crawford,Pennsylvania
4,Butler VA Medical Center,42033,Clearfield,Pennsylvania
4,Butler VA Medical Center,42031,Clarion,Pennsylvania
4,Butler VA Medical Center,42021,Cambria,Pennsylvania
4,Butler VA Medical Center,42019,Butler,Pennsylvania
4,Butler VA Medical Center,42013,Blair,Pennsylvania
4,Butler VA Medical Center,42009,Bedford,Pennsylvania
4,Butler VA Medical Center,42007,Beaver,Pennsylvania
4,Butler VA Medical Center,42005,Armstrong,Pennsylvania
4,Butler VA Medical Center,42003,Allegheny,Pennsylvania
4,Butler VA Medical Center,39167,Washington,Pennsylvania
4,Butler VA Medical Center,39155,Trumbull,Pennsylvania
4,Butler VA Medical Center,39121,Noble,Pennsylvania
4,Butler VA Medical Center,39111,Monroe,Pennsylvania
4,Butler VA Medical Center,39099,Mahoning,Pennsylvania
4,Butler VA Medical Center,39085,Lake,Pennsylvania
4,Butler VA Medical Center,39081,Jefferson,Pennsylvania
4,Butler VA Medical Center,39067,Harrison,Pennsylvania
4,Butler VA Medical Center,39059,Guernsey,Pennsylvania
4,Butler VA Medical Center,39055,Geauga,Pennsylvania
4,Butler VA Medical Center,39029,Columbiana,Pennsylvania
4,Butler VA Medical Center,39019,Carroll,Pennsylvania
4,Butler VA Medical Center,39013,Belmont,Pennsylvania
4,Butler VA Medical Center,39007,Ashtabula,Pennsylvania
4,Butler VA Medical Center,24023,Garrett,Pennsylvania
4,Butler VA Medical Center,24001,Allegany,Pennsylvania
4,Coatesville VA Medical Center,42101,Philadelphia,Pennsylvania
4,Coatesville VA Medical Center,42045,Delaware,Pennsylvania
4,Coatesville VA Medical Center,34033,Salem,Pennsylvania
4,Coatesville VA Medical Center,34015,Gloucester,Pennsylvania
4,Coatesville VA Medical Center,34011,Cumberland,Pennsylvania
4,Coatesville VA Medical Center,34009,Cape May,Pennsylvania
4,Coatesville VA Medical Center,34007,Camden,Pennsylvania
4,Coatesville VA Medical Center,34001,Atlantic,Pennsylvania
4,Coatesville VA Medical Center,24047,Worcester,Pennsylvania
4,Coatesville VA Medical Center,24045,Wicomico,Pennsylvania
4,Coatesville VA Medical Center,24035,Queen Anne's,Pennsylvania
4,Coatesville VA Medical Center,24029,Kent,Pennsylvania
4,Coatesville VA Medical Center,24019,Dorchester,Pennsylvania
4,Coatesville VA Medical Center,24011,Caroline,Pennsylvania
4,Coatesville VA Medical Center,10005,Sussex,Pennsylvania
4,Coatesville VA Medical Center,10003,New Castle,Pennsylvania
4,Coatesville VA Medical Center,10001,Kent,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,42101,Philadelphia,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,42045,Delaware,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,34033,Salem,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,34015,Gloucester,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,34011,Cumberland,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,34009,Cape May,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,34007,Camden,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,34001,Atlantic,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,24047,Worcester,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,24045,Wicomico,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,24035,Queen Anne's,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,24029,Kent,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,24019,Dorchester,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,24011,Caroline,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,10005,Sussex,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,10003,New Castle,Pennsylvania
4,Corporal Michael J. Crescenz Department of Veterans Affairs Medical Center,10001,Kent,Pennsylvania
4,Erie VA Medical Center,54103,Wetzel,Pennsylvania
4,Erie VA Medical Center,54095,Tyler,Pennsylvania
4,Erie VA Medical Center,54077,Preston,Pennsylvania
4,Erie VA Medical Center,54069,Ohio,Pennsylvania
4,Erie VA Medical Center,54061,Monongalia,Pennsylvania
4,Erie VA Medical Center,54051,Marshall,Pennsylvania
4,Erie VA Medical Center,54029,Hancock,Pennsylvania
4,Erie VA Medical Center,54009,Brooke,Pennsylvania
4,Erie VA Medical Center,42129,Westmoreland,Pennsylvania
4,Erie VA Medical Center,42125,Washington,Pennsylvania
4,Erie VA Medical Center,42121,Venango,Pennsylvania
4,Erie VA Medical Center,42111,Somerset,Pennsylvania
4,Erie VA Medical Center,42085,Mercer,Pennsylvania
4,Erie VA Medical Center,42073,Lawrence,Pennsylvania
4,Erie VA Medical Center,42065,Jefferson,Pennsylvania
4,Erie VA Medical Center,42063,Indiana,Pennsylvania
4,Erie VA Medical Center,42059,Greene,Pennsylvania
4,Erie VA Medical Center,42057,Fulton,Pennsylvania
4,Erie VA Medical Center,42053,Forest,Pennsylvania
4,Erie VA Medical Center,42051,Fayette,Pennsylvania
4,Erie VA Medical Center,42049,Erie,Pennsylvania
4,Erie VA Medical Center,42047,Elk,Pennsylvania
4,Erie VA Medical Center,42039,Crawford,Pennsylvania
4,Erie VA Medical Center,42033,Clearfield,Pennsylvania
4,Erie VA Medical Center,42031,Clarion,Pennsylvania
4,Erie VA Medical Center,42021,Cambria,Pennsylvania
4,Erie VA Medical Center,42019,Butler,Pennsylvania
4,Erie VA Medical Center,42013,Blair,Pennsylvania
4,Erie VA Medical Center,42009,Bedford,Pennsylvania
4,Erie VA Medical Center,42007,Beaver,Pennsylvania
4,Erie VA Medical Center,42005,Armstrong,Pennsylvania
4,Erie VA Medical Center,42003,Allegheny,Pennsylvania
4,Erie VA Medical Center,39167,Washington,Pennsylvania
4,Erie VA Medical Center,39155,Trumbull,Pennsylvania
4,Erie VA Medical Center,39121,Noble,Pennsylvania
4,Erie VA Medical Center,39111,Monroe,Pennsylvania
